COMID,Lat,Lon
8000001,51.02201175,92.5488716
8000002,51.02365863,92.45244889
8000003,51.00969302,92.54500562
8000004,51.00390265,92.53664461
8000005,51.00309456,92.57921986
8000006,51.03428514,92.61787138
8000007,50.9177092,94.32312499
8000008,50.9190073,94.33915529
8000009,50.93651593,92.64574996
8000010,50.93936495,92.69255778
8000011,50.87199553,93.37920886
8000012,50.92592363,93.43435781
8000013,50.83944612,92.2207519
8000014,50.88473206,92.26201537
8000015,50.83241748,92.75726845
8000016,50.8397206,92.78587122
8000017,50.84860197,92.92685809
8000018,50.80502449,92.95458348
8000019,50.79652103,94.21669234
8000020,50.79402751,94.22652613
8000021,50.82025712,93.1846724
8000022,50.8019858,93.19381977
8000023,50.79546831,92.56476754
8000024,50.84801624,92.51488101
8000025,50.85792215,93.09758548
8000026,50.78623259,93.16878504
8000027,50.78405851,94.41576578
8000028,50.84621376,94.38398113
8000029,50.82090111,92.65404594
8000030,50.78491707,93.63509447
8000031,50.79984663,93.69355275
8000032,50.79809527,92.69910893
8000033,50.77842938,92.60685768
8000034,50.79880006,92.61063298
8000035,50.77055999,92.6261653
8000036,50.80181296,94.48929001
8000037,50.78080824,94.51862205
8000038,50.7747038,91.95152872
8000039,50.78234617,92.0000327
8000040,50.75504655,92.0688059
8000041,50.74961881,92.04358443
8000042,50.80993604,92.09913239
8000043,50.74671606,92.14151583
8000044,50.74011126,92.08258694
8000045,50.73598105,92.12131006
8000046,50.74305426,94.05846434
8000047,50.72901701,92.18272519
8000048,50.72830809,94.83342017
8000049,50.71562689,94.85265364
8000050,50.70561642,92.19476133
8000051,50.76712613,92.24482641
8000052,50.72642358,92.27889028
8000053,50.70053738,93.97752061
8000054,50.70844588,94.00406419
8000055,50.73694029,94.40454531
8000056,50.72162706,94.44018701
8000057,50.70485173,94.06118088
8000058,50.70710304,94.10258193
8000059,50.74381604,94.1918989
8000060,50.69321374,94.19865186
8000061,50.73232751,91.63824266
8000062,50.71440673,91.6942928
8000063,50.68658921,94.09087571
8000064,50.6871986,94.13520812
8000065,50.68719644,93.91882845
8000066,50.73498873,92.96649316
8000067,50.67276192,92.92476022
8000068,50.67020164,92.94902478
8000069,50.68880103,92.23026432
8000070,50.68811718,95.01770372
8000071,50.68769711,95.05076643
8000072,50.68079991,93.29114761
8000073,50.66001168,92.92961661
8000074,50.65558555,91.59277568
8000075,50.67099855,91.61356631
8000076,50.71736034,93.5868628
8000077,50.6637935,93.51778208
8000078,50.6503075,93.54117551
8000079,50.67738771,94.81060778
8000080,50.65827924,94.82324413
8000081,50.65509796,93.50992985
8000082,50.64591383,93.51378188
8000083,50.65530248,92.97875929
8000084,50.66618052,93.01305071
8000085,50.73930093,93.75743968
8000086,50.66051875,93.78733158
8000087,50.65041494,93.63958901
8000088,50.71927955,93.37517366
8000089,50.66322237,94.2981348
8000090,50.7019552,93.10139551
8000091,50.65796969,94.22215462
8000092,50.65190429,94.14461206
8000093,50.63295933,94.20960253
8000094,50.64893443,92.26717262
8000095,50.66558395,92.28239942
8000096,50.63420181,93.00768577
8000097,50.62915491,93.02048162
8000098,50.63503957,93.13047609
8000099,50.63679785,95.08443576
8000100,50.6241973,95.09781815
8000101,50.61805073,94.26555452
8000102,50.60782173,91.5943062
8000103,50.62436043,91.6132996
8000104,50.61125379,93.2719476
8000105,50.63089427,92.14029378
8000106,50.60183945,92.99217546
8000107,50.58592409,93.0020866
8000108,50.62190691,94.99820898
8000109,50.60058777,95.01868162
8000110,50.57570916,92.9597471
8000111,50.5728027,94.98009874
8000112,50.70590931,94.54358822
8000113,50.65271691,94.55935637
8000114,50.61276256,94.13891285
8000115,50.58954395,93.44199495
8000116,50.55365002,95.94695586
8000117,50.56008806,95.97321129
8000118,50.65138742,92.71865231
8000119,50.5554579,95.0489311
8000120,50.54650817,94.02137615
8000121,50.54552098,94.14429994
8000122,50.55790513,94.58062563
8000123,50.54196138,94.0772243
8000124,50.53967783,94.09762665
8000125,50.54310608,92.68105311
8000126,50.55910284,96.3576861
8000127,50.54025829,96.37377504
8000128,50.53586556,94.49905022
8000129,50.55106694,92.97475322
8000130,50.53419963,92.49695294
8000131,50.5389539,92.5046659
8000132,50.58357206,92.5271189
8000133,50.53196981,96.34891794
8000134,50.58140202,94.73445139
8000135,50.536283,94.77340668
8000136,50.53003713,92.47541575
8000137,50.52305997,92.55148702
8000138,50.6442886,92.58778747
8000139,50.52713925,94.57031473
8000140,50.52593685,94.62500822
8000141,50.51955443,92.49658492
8000142,50.5242998,92.50571805
8000143,50.52396026,92.52264768
8000144,50.52481319,94.47510213
8000145,50.5315657,94.34541972
8000146,50.51658938,94.64196507
8000147,50.59608328,92.4093749
8000148,50.53041987,92.72124999
8000149,50.56944938,92.7827219
8000150,50.51714825,94.69372999
8000151,50.51490151,96.31979292
8000152,50.51291302,93.86006506
8000153,50.51708003,96.36951106
8000154,50.50670888,94.75337863
8000155,50.49766848,96.26831283
8000156,50.49969288,93.78061062
8000157,50.50302666,95.56749686
8000158,50.54697125,95.6200951
8000159,50.5276639,94.84474465
8000160,50.52113329,91.30717592
8000161,50.56938276,91.74433649
8000162,50.51314966,91.73382085
8000163,50.52343974,94.04107429
8000164,50.49810617,96.17355818
8000165,50.49436555,96.40418633
8000166,50.4951539,96.20633066
8000167,50.66060125,92.37017248
8000168,50.48841697,93.74971518
8000169,50.49334798,96.30260318
8000170,50.52969413,94.9124717
8000171,50.4831216,94.8192423
8000172,50.55174578,92.31948006
8000173,50.47541667,92.36666666
8000174,50.53641324,92.3539267
8000175,50.4791935,92.38486264
8000176,50.52419202,92.89123819
8000177,50.46866767,92.84003359
8000178,50.48082078,91.36259625
8000179,50.49005562,91.39547735
8000180,50.47785244,95.58650028
8000181,50.48960218,95.65027171
