COMID,Lat,Lon
12000001,59.79900624,28.92926659
12000002,59.79049053,28.6178131
12000003,59.76403629,28.72644541
12000004,59.73949632,28.14972047
12000005,59.67670375,29.03817788
12000006,59.67754969,28.91444173
12000007,59.66907996,29.0462387
12000008,59.66772747,28.92371132
12000009,59.6649033,28.99127297
12000010,59.67664538,28.51479174
12000011,59.66443571,28.44496933
12000012,59.73065109,28.81578331
12000013,59.64164363,28.84306867
12000014,59.63016353,28.73756514
12000015,59.6250594,28.4833758
12000016,59.5917166,28.52353693
12000017,59.62725741,28.61170494
12000018,59.61770743,29.02322978
12000019,59.58707615,28.55336085
12000020,59.61360594,28.78242991
12000021,59.62455493,28.19487513
12000022,59.58438836,28.48997777
12000023,59.59773744,28.68108454
12000024,59.57587405,28.85927109
12000025,59.56858975,28.17901695
12000026,59.56595649,25.9758084
12000027,59.55895726,26.06766524
12000028,59.55188221,28.23492963
12000029,59.55320949,26.17843568
12000030,59.5203084,28.28651113
12000031,59.54085542,28.31311627
12000032,59.5455475,28.965606
12000033,59.5143075,28.33374397
12000034,59.51870055,25.61644226
12000035,59.51598629,26.68832587
12000036,59.50385092,28.70737047
12000037,59.51091387,26.46597705
12000038,59.49353787,25.47796231
12000039,59.51878998,30.24971793
12000040,59.50348822,26.13529805
12000041,59.48381944,24.97157392
12000042,59.48714005,26.67867513
12000043,59.49124709,26.19523445
12000044,59.47867357,25.37762216
12000045,59.46710352,28.05164759
12000046,59.4774809,28.07221957
12000047,59.49610503,25.58100296
12000048,59.45790748,26.86924263
12000049,59.45991354,28.07114511
12000050,59.46653315,25.16300509
12000051,59.50807047,25.85465594
12000052,59.48334346,30.20528646
12000053,59.48271682,26.539635
12000054,59.4686695,28.78260497
12000055,59.45127841,30.15283874
12000056,59.44892959,30.09424185
12000057,59.46083151,30.34492609
12000058,59.44354181,30.41854167
12000059,59.46073354,29.25701616
12000060,59.45701114,29.28006589
12000061,59.4382643,27.19214099
12000062,59.44379621,26.48774043
12000063,59.44534151,28.07884014
12000064,59.46531523,29.91365574
12000065,59.47382902,28.54434643
12000066,59.44611237,25.91097451
12000067,59.44206403,25.19027716
12000068,59.47187595,28.27439653
12000069,59.42424517,28.32509461
12000070,59.44168402,30.53172566
12000071,59.42523125,30.55819903
12000072,59.43199755,30.01863085
12000073,59.42390024,28.3676891
12000074,59.43655348,25.13878406
12000075,59.41270835,25.11854167
12000076,59.41631343,28.29890724
12000077,59.41860835,25.20285631
12000078,59.48866147,26.36137378
12000079,59.41025031,28.55961295
12000080,59.44605605,28.66139345
12000081,59.42786833,24.59319933
12000082,59.4210079,28.47841986
12000083,59.41861446,27.00327652
12000084,59.40470056,28.57430775
12000085,59.40554208,28.58613689
12000086,59.42480313,26.54090137
12000087,59.4113071,28.32211747
12000088,59.40458518,28.95893837
12000089,59.42240065,29.02195147
12000090,59.39306953,25.40402515
12000091,59.41143192,25.27234735
12000092,59.38963917,25.36828534
12000093,59.39487384,27.02642536
12000094,59.39287747,26.37935414
12000095,59.424915,26.00419227
12000096,59.44379127,26.70686304
12000097,59.43665005,29.63435882
12000098,59.42481262,29.75016705
12000099,59.41126122,30.44503939
12000100,59.40532309,26.89103628
12000101,59.3953833,30.49899994
12000102,59.37854174,26.288125
12000103,59.40853651,24.4100784
12000104,59.43348682,24.91257766
12000105,59.37761758,26.31703156
12000106,59.38308428,28.95999544
12000107,59.37514466,30.4456672
12000108,59.37098948,24.46938729
12000109,59.37437106,26.24435993
12000110,59.37165011,27.11171381
12000111,59.38694859,27.58852498
12000112,59.37082427,26.04057148
12000113,59.38768413,25.14733255
12000114,59.38267652,28.54303324
12000115,59.37353055,28.87597888
