COMID,Lat,Lon
600001,47.04867939,39.3415432
600002,47.02058517,39.36381029
600003,46.99863639,39.68840854
600004,47.00212268,39.46836516
600005,46.95424775,40.13656615
600006,46.97492189,40.23790647
600007,46.94313436,39.89078911
600008,46.94125,39.89895833
600009,46.96344373,39.61600865
600010,46.94386296,39.77357121
600011,46.9343776,40.16997192
600012,46.92908005,39.07051219
600013,46.92884317,39.67581624
600014,46.98485606,40.46354149
600015,46.91629602,39.01761793
600016,46.91909165,40.52925913
600017,46.90985038,38.96937707
600018,46.91411403,38.90716803
600019,46.90127613,39.27157326
600020,46.90591329,40.46498156
600021,46.9087844,39.15141076
600022,46.90932071,39.34545256
600023,46.90656858,40.29320626
600024,46.89649064,40.4443975
600025,46.89801639,39.68557165
600026,46.89085464,39.0459531
600027,46.89801368,40.14899567
600028,46.88785876,39.873724
600029,46.87054443,40.09339404
600030,46.87164529,39.6838451
600031,46.86537934,40.143724
600032,46.87033647,40.46506304
600033,46.87484699,39.01850044
600034,46.85960366,40.54735678
600035,46.8433353,40.65073981
600036,46.85382672,40.70840751
600037,46.83915169,40.63757163
600038,46.85103405,40.07032488
600039,46.85407486,39.71288326
600040,46.84963074,38.75649409
600041,46.81702639,39.71735478
600042,46.81407478,39.7432864
600043,46.81715494,40.17789769
600044,46.80082745,38.42261719
600045,46.80801307,38.76642522
600046,46.81562724,39.36349878
600047,46.80485356,39.73002424
600048,46.79988989,39.38626002
600049,46.80835211,40.66178392
600050,46.80899744,40.6683944
600051,46.79024705,39.69344999
600052,46.79246016,38.80225342
600053,46.83744307,38.94142055
600054,46.7744833,39.71951818
600055,46.77292838,39.30699138
600056,46.80550797,40.80816052
600057,46.76197892,39.84421328
600058,46.74345594,39.71466731
600059,46.73705326,39.24951024
600060,46.75157328,39.13871813
600061,46.73278681,40.04574775
600062,46.73336942,40.14607822
600063,46.77884113,40.32325784
600064,46.73585132,39.34619163
600065,46.72187546,40.55878052
600066,46.71935561,40.55135007
600067,46.71258776,40.52266988
600068,46.73730051,39.04069547
600069,46.71725029,39.97909372
600070,46.69948729,40.19155399
600071,46.71789216,39.73219995
600072,46.69445868,40.54532191
600073,46.6661492,38.60158931
600074,46.71540633,38.63643931
600075,46.66399108,40.57949672
600076,46.68187749,39.33944404
600077,46.66843515,39.82555243
600078,46.66301433,40.54345964
600079,46.64734536,38.08834992
600080,46.66228818,39.75353877
600081,46.64574942,39.97510619
600082,46.65723807,38.72330477
600083,46.64245148,39.88656443
600084,46.63680665,40.24550199
600085,46.63287248,38.83721165
600086,46.63243758,40.14433399
600087,46.63033775,37.96552992
600088,46.62167587,40.28802324
600089,46.63170766,38.96474747
600090,46.61048339,40.76468636
600091,46.61397461,40.86133176
600092,46.60774059,38.49733049
600093,46.59978643,40.07257863
600094,46.60154877,39.36316823
600095,46.55450766,39.80891769
600096,46.5382037,40.08352033
600097,46.53371368,40.18191587
600098,46.53062512,37.868125
600099,46.52937367,37.95512969
600100,46.5166081,37.84694478
600101,46.52673145,40.25692738
600102,46.52467508,40.37789805
600103,46.54202889,39.11420459
600104,46.53586596,39.66255367
600105,46.50304066,38.12157424
600106,46.49713143,38.13114889
600107,46.49783108,39.20062123
600108,46.50233246,40.35060647
600109,46.49377489,40.37325376
600110,46.53832738,40.57370465
600111,46.51052913,40.04758278
600112,46.48177549,40.3562695
600113,46.4926847,38.63984865
600114,46.47602437,38.70346387
600115,46.48338282,38.79804693
600116,46.48167379,40.62887243
600117,46.48077414,39.30748938
600118,46.4695479,40.46749957
600119,46.45472893,40.59351437
600120,46.51179136,38.29688291
600121,46.44687529,38.27437499
600122,46.45165458,38.78029069
600123,46.46466833,39.30360766
600124,46.43346389,37.91666732
600125,46.4252027,38.47306191
600126,46.4520731,38.08495087
600127,46.44198155,39.83529292
600128,46.4110389,40.17168889
600129,46.42088904,38.56857264
600130,46.42193767,39.2712106
600131,46.3537914,40.23694633
600132,46.3452455,39.44707615
600133,46.33964715,38.79843613
600134,46.33802987,39.39410982
600135,46.36875895,38.38263163
600136,46.36477688,38.43293141
600137,46.33684312,38.22002137
600138,46.3825026,38.26025438
600139,46.3255081,38.29595301
600140,46.32490722,39.10252051
600141,46.39813767,39.79513686
600142,46.32327008,39.40119659
600143,46.36235681,38.99867919
600144,46.31236747,39.0310896
600145,46.33972423,38.68317061
600146,46.31690668,38.74267291
600147,46.30180542,38.67344411
600148,46.31765875,39.45717358
600149,46.30562996,40.07966925
600150,46.30909424,39.13902489
600151,46.30287595,38.94735002
600152,46.29532334,39.61166019
600153,46.3040384,38.27962634
600154,46.31486172,38.86664085
600155,46.28715532,40.28882772
600156,46.27373394,40.46864879
600157,46.27948371,38.69014002
600158,46.2625,38.28749999
600159,46.26880547,39.03344039
600160,46.27602994,39.5220278
600161,46.29103816,38.35215846
600162,46.25125001,38.34249999
600163,46.28671035,38.42526705
600164,46.2528164,38.30971379
600165,46.27700086,38.60671396
600166,46.27999232,39.97169128
600167,46.24490627,39.6476603
600168,46.23488431,40.0059537
600169,46.23825584,38.39762233
600170,46.23386726,40.52307104
600171,46.2479659,40.23761835
600172,46.19374214,38.6398984
600173,46.20476833,39.02770505
600174,46.17858489,40.3729337
600175,46.17688903,38.87064449
600176,46.16874927,39.34290815
600177,46.16695485,39.10418191
600178,46.16239568,39.3614991
600179,46.19138425,40.04500531
600180,46.1680232,40.3074939
600181,46.17894142,39.69693307
600182,46.13979416,39.93782687
600183,46.13960707,40.3766796
600184,46.17735352,38.34867734
600185,46.17964024,38.49842612
600186,46.12868634,40.33560969
600187,46.14641388,39.26435564
600188,46.11112182,39.35057699
600189,46.13951145,38.86512159
600190,46.11103447,39.30189377
600191,46.10116069,40.35507279
600192,46.10865426,39.4744868
600193,46.10220081,38.47300388
600194,46.10326005,39.10777184
600195,46.09602162,39.95517423
600196,46.07458333,40.04479166
600197,46.08249272,38.98808189
600198,46.09901935,38.58945707
600199,46.08926058,39.7073078
600200,46.05200038,39.81085612
600201,46.04689024,40.08455199
600202,46.05310984,39.15820077
600203,46.02150337,39.34675822
600204,46.01694831,38.16145454
600205,46.05434577,38.57065335
600206,46.06516736,40.39326792
600207,46.08436627,40.67196174
600208,46.00615147,38.75319814
600209,46.00989423,38.22569043
600210,46.0067922,38.27964407
600211,45.99978938,40.66421863
600212,45.99649974,40.67418702
600213,46.015748,39.86918653
600214,46.00450488,40.56298986
600215,45.99417239,38.31857251
600216,45.99984822,39.32661489
600217,46.00226212,37.97520926
600218,45.9845493,40.03022226
600219,45.98305906,39.42016923
600220,45.98018236,39.48750355
600221,46.00327258,39.10176212
600222,45.98690343,38.67025557
600223,45.97788263,40.68461542
600224,45.97399147,39.38342896
600225,45.96314808,40.37065165
600226,45.9609348,40.70965789
600227,45.97633721,40.43186283
600228,45.95582287,40.6929252
600229,45.95735237,39.53029327
600230,45.94918589,38.79292077
600231,45.91267365,37.9079425
600232,45.92791986,38.10432825
600233,45.91761073,38.96764841
600234,45.90254503,38.9351656
600235,45.91981813,38.74425414
600236,45.92528561,40.36927941
600237,45.8920032,40.41280453
600238,45.92498187,38.13951757
600239,45.92623073,38.42249197
600240,45.93426542,40.09373572
600241,45.94240811,38.24839674
600242,45.88493721,39.34758665
600243,45.91782712,40.72271859
600244,45.88208552,39.23661625
600245,45.88576315,39.53143761
600246,45.88314441,39.62927982
600247,45.91378615,40.65989068
600248,45.87980617,39.46086557
600249,45.88761882,38.8714199
600250,45.88637712,39.07654227
600251,45.87751824,38.66888706
600252,45.8784045,38.49377214
600253,45.8737914,38.80856543
600254,45.86543705,39.63084673
600255,45.89782446,38.06646888
600256,45.84823829,39.66657558
600257,45.97483461,39.78906158
600258,45.84440054,40.01794115
600259,45.86200103,38.65245964
600260,45.86374439,38.18828152
600261,45.84656813,40.70983872
600262,45.86050451,38.97338476
600263,45.85600948,40.41879192
600264,45.84805281,40.63662225
600265,45.8187137,39.70497856
600266,45.81139582,39.06412205
600267,45.83904486,38.15408379
600268,45.78753346,39.50924283
600269,45.79250274,37.86954138
600270,45.81229657,38.34883492
600271,45.79332208,39.30609398
600272,45.82273736,38.27742021
600273,45.77924705,38.3274399
600274,45.8188173,37.95840673
600275,45.80476032,40.09504673
600276,45.76262503,40.24762489
600277,45.76636454,39.51704449
600278,45.78990239,38.23165563
600279,45.75941206,38.37641643
600280,45.74089928,38.49414811
600281,45.74040592,39.57166888
600282,45.74030755,39.71591435
600283,45.75719674,39.12967881
600284,45.74252296,40.22799437
600285,45.7225947,39.24477232
600286,45.72457189,40.35346203
600287,45.7160601,40.29762249
600288,45.71256068,40.43582907
600289,45.7445373,38.69852692
600290,45.70875572,38.81965029
600291,45.711254,39.75010944
600292,45.69231654,39.9336787
600293,45.70238956,38.47873927
600294,45.68757477,37.86823445
600295,45.70480282,38.61821903
600296,45.68972623,39.20041416
600297,45.67105398,39.90819771
600298,45.68289788,40.29488877
600299,45.68026855,37.7461049
600300,45.64930634,40.41385057
600301,45.67457328,38.07299253
600302,45.65876871,38.01961007
600303,45.68031665,39.66370326
600304,45.7105454,39.05659524
600305,45.63350262,39.2584113
600306,45.63445179,38.21002483
600307,45.64367231,38.55443045
600308,45.6184772,39.1673193
600309,45.65253507,38.86271586
600310,45.62780199,39.91780498
600311,45.6045314,40.08345536
600312,45.59861355,39.20936117
600313,45.58487278,40.01057762
600314,45.60578437,38.13813029
600315,45.59342474,38.94217959
600316,45.57477381,40.0540731
600317,45.5742489,38.96541933
600318,45.58150968,39.44389496
600319,45.66223638,38.34847951
600320,45.56540561,40.01185191
600321,45.58657394,39.81533764
600322,45.60900412,37.67739844
600323,45.53659467,37.72244646
600324,45.5442021,39.40385422
600325,45.54661356,40.14262148
600326,45.53389361,40.04985842
600327,45.56919461,40.57244708
600328,45.5197278,40.28046075
600329,45.51834566,40.83063413
600330,45.52528599,37.74676226
600331,45.56995824,38.36400283
600332,45.53630693,37.84465039
600333,45.53989721,38.13930588
600334,45.51046771,40.2624238
600335,45.5274299,39.03037941
600336,45.49801112,38.50412864
600337,45.49610559,38.44652543
600338,45.57482207,38.73631396
600339,45.48750779,38.54666522
600340,45.48131547,38.66992824
600341,45.49120816,38.60374816
600342,45.4823971,40.29267983
600343,45.48083956,40.38809961
600344,45.49131897,40.81980842
600345,45.46091776,39.63006259
600346,45.50922137,39.33557647
600347,45.45548689,39.64916718
600348,45.53059739,38.94040548
600349,45.44914958,39.62602196
600350,45.45670067,38.68712871
600351,45.46514996,38.40549705
600352,45.47473856,37.74434717
600353,45.50198316,38.06818569
600354,45.42918687,38.08576453
600355,45.42357451,38.07281829
600356,45.45078473,39.93194407
600357,45.41651743,38.46123324
600358,45.41201685,39.28707997
600359,45.39892352,38.11778537
600360,45.37449354,39.69360034
600361,45.35758736,39.80961847
600362,45.41706121,40.78503343
600363,45.35541277,41.01450186
600364,45.35413603,39.8075316
600365,45.4038278,37.74788414
600366,45.38047012,40.41070645
600367,45.3437564,41.03214224
600368,45.3509804,41.16635483
600369,45.34261167,40.35624222
600370,45.45009144,38.28720869
600371,45.34277939,39.61747081
600372,45.32764469,39.98466674
600373,45.37047317,39.09072206
600374,45.3545769,40.7169888
600375,45.36812454,38.42966453
600376,45.32809082,41.00490367
600377,45.31867051,40.45626901
600378,45.32538304,37.1411317
600379,45.33567972,37.67141237
600380,45.30094528,37.82009291
600381,45.34045317,40.12078199
600382,45.31978039,40.60658847
600383,45.29934153,37.16650781
600384,45.29904864,37.20082124
600385,45.30634711,39.97889202
600386,45.30048648,40.02253452
600387,45.39281359,38.88590051
600388,45.30207615,38.4141027
600389,45.35997437,38.77288321
600390,45.29678361,38.85714886
600391,45.2904057,39.34578689
600392,45.29565699,38.44552561
600393,45.29385757,39.25442988
600394,45.28800504,39.47462496
600395,45.28597592,41.15401461
600396,45.26621006,41.2974156
600397,45.2753871,38.38666107
600398,45.26903808,37.1058059
600399,45.29187983,37.46828482
600400,45.27502734,37.85488756
600401,45.33087556,38.07984219
600402,45.28515636,39.92986128
600403,45.26367867,38.85870625
600404,45.24394367,38.88316898
600405,45.24219947,40.49287882
600406,45.27253529,39.18732279
600407,45.2426958,39.32068072
600408,45.23605107,38.95047011
600409,45.30044831,37.60595038
600410,45.26173242,40.1788512
600411,45.25432124,37.24735847
600412,45.23713867,39.06265479
600413,45.25413391,38.50020283
600414,45.26411758,41.02874334
600415,45.23225309,39.92454551
600416,45.23084718,38.89598219
600417,45.22665403,40.6310533
600418,45.25543754,38.5525159
600419,45.2346109,39.82956516
600420,45.21309954,41.0902319
600421,45.23675773,41.29732604
600422,45.20936554,40.17850603
600423,45.20849376,40.06128772
600424,45.20435616,40.17539125
600425,45.21279073,40.38136191
600426,45.20167443,39.72951411
600427,45.25037344,37.39770931
600428,45.18800133,39.80522999
600429,45.16531361,39.86721114
600430,45.19135221,41.02485342
600431,45.17354102,39.68530696
600432,45.1844858,39.31281904
600433,45.15721949,41.03632464
600434,45.19444223,38.8724675
600435,45.16212679,37.53616919
600436,45.16020241,37.48611103
600437,45.14340449,37.60203071
600438,45.1917484,39.05401454
600439,45.15550512,37.69548507
600440,45.14003959,37.77725973
600441,45.18537116,37.88258781
600442,45.30632192,38.65591586
600443,45.14544416,37.98693429
600444,45.1341854,38.13605581
600445,45.16341466,38.25069448
600446,45.13283331,37.84104555
600447,45.20704994,40.76146136
600448,45.12762099,37.79929587
600449,45.12943287,39.92089884
600450,45.18062098,38.53511275
600451,45.14496547,40.4868873
600452,45.12075604,38.36217606
600453,45.16462292,40.61307758
600454,45.11734792,37.82554173
600455,45.13437621,37.0669757
600456,45.10254246,40.28060544
600457,45.1528378,36.95694598
600458,45.0975,37.02416666
600459,45.1121851,37.17966948
600460,45.11369958,40.20781438
600461,45.12303712,39.80351706
600462,45.08677365,39.89819279
600463,45.11486541,41.06493394
600464,45.09174606,39.93288256
600465,45.09920414,40.04324687
600466,45.0858458,37.01369891
600467,45.09242208,37.85602704
600468,45.10748172,39.47489921
600469,45.07354388,39.92717292
600470,45.06845498,37.90865765
600471,45.16047852,39.53518819
600472,45.06596247,39.41865541
600473,45.07210069,39.98285819
600474,45.09652584,40.39260127
600475,45.05484431,40.52817168
600476,45.06835842,40.3067493
600477,45.06334875,39.62276456
600478,45.08548113,38.57988876
600479,45.05237989,39.48833681
600480,45.04390813,39.56486118
600481,45.04989342,37.95953046
600482,45.03293469,38.75253318
600483,45.04649156,40.65098803
600484,45.07093213,37.98752582
600485,45.11212111,41.2654935
600486,45.04015277,39.38675275
600487,45.02581607,38.28162535
600488,45.02151851,37.99361948
600489,45.02951414,38.16572132
600490,45.03492466,39.1160578
600491,45.05250589,41.18549622
600492,45.01947846,37.98728397
600493,45.0149036,38.33074282
600494,45.03602859,38.47197616
600495,45.02115789,39.60256794
600496,45.02531481,40.32527966
600497,45.00924215,39.33786236
600498,45.01784927,38.77504686
600499,45.00254198,38.97268337
600500,45.03140577,37.38800343
600501,45.02211435,38.89227166
600502,45.00734653,38.07361076
600503,44.9953453,38.38730436
600504,45.03307313,41.12739275
600505,44.99208361,38.79791661
600506,44.98541667,38.48875
600507,44.98688538,38.45592849
600508,44.9912739,39.28342811
600509,44.98503329,39.14980073
600510,44.98114896,39.2148786
600511,45.06813514,37.68647218
600512,44.98298635,39.12349585
600513,45.02906843,39.91485136
600514,44.9844878,39.08678792
600515,45.02041334,40.06206217
600516,45.03489003,40.10619203
600517,44.98810099,39.0207322
600518,44.97587878,38.49728269
600519,45.00379212,39.4489302
600520,45.0105939,37.87540506
600521,44.9734521,38.05521422
600522,45.06342129,39.79526994
600523,44.98520118,38.30033507
600524,44.99486934,40.57480164
600525,44.99117905,40.65977547
600526,44.9624665,40.83973892
600527,44.95813078,40.18732989
600528,44.98307064,38.2513695
600529,44.96775235,39.35918685
600530,44.94740567,38.04960091
600531,44.95201047,40.16481305
600532,44.96111042,38.08106411
600533,44.94795984,38.51631215
600534,44.93829046,40.69425838
600535,44.92815558,38.09864365
600536,44.92705108,37.40510317
600537,44.9469286,39.07011988
600538,44.94079117,39.511736
600539,44.96766999,38.57986517
600540,45.03651929,41.03491439
600541,44.95141763,39.31493731
