COMID,Lat,Lon
900001,43.37307747,-110.0122694
900002,43.36244356,-109.9544043
900003,43.36437512,-109.8649569
900004,43.33127484,-110.0895908
900005,43.33526707,-110.0099756
900006,43.32455707,-109.8668757
900007,43.30357706,-109.7946372
900008,43.26299975,-110.0181194
900009,43.22504484,-110.0325479
900010,43.21138277,-110.0052747
900011,43.23155342,-109.9848002
900012,43.2407297,-109.7894359
900013,43.14479197,-110.0595833
900014,43.17082928,-110.0226232
900015,43.15180917,-121.6849688
900016,43.11645834,-121.7464583
900017,43.16318941,-121.8633387
900018,43.15209364,-121.8205879
900019,43.10369069,-121.8280137
900020,43.10950748,-121.7893561
900021,43.09244956,-121.8441717
900022,43.08949327,-121.8288756
900023,43.08317222,-121.8859773
900024,43.07432854,-121.9509983
900025,43.06541667,-121.9258333
900026,43.06438112,-121.8946644
900027,43.06100183,-121.9351881
900028,43.06095253,-121.853883
900029,43.03817156,-121.8416519
900030,43.05931226,-121.8316845
900031,43.06781615,-109.7585208
900032,43.0373604,-121.8815338
900033,43.05243911,-109.6996323
900034,43.03501391,-110.2101016
900035,43.06978011,-110.1709534
900036,43.03486747,-121.9703112
900037,43.01103622,-110.1587015
900038,43.01519776,-110.2734564
900039,43.12864398,-121.5414338
900040,43.00984359,-121.502474
900041,42.99268435,-121.6265883
900042,43.039299,-121.5985738
900043,42.98617024,-121.5346661
900044,43.00943706,-109.8702385
900045,43.00420327,-109.9212031
900046,42.98741696,-110.1319152
900047,43.05479766,-110.0895385
900048,42.96952428,-121.6673974
900049,42.96073873,-121.6474231
900050,42.97077963,-121.6247321
900051,42.97283345,-121.508943
900052,42.96084068,-121.4824463
900053,42.9641359,-121.5797451
900054,42.95987852,-121.8287157
900055,42.94864231,-121.8455425
900056,42.94877561,-121.6722611
900057,42.97692217,-121.798848
900058,42.94342587,-121.752362
900059,42.93480616,-121.8272121
900060,42.92817195,-109.7414585
900061,42.97067937,-109.6644276
900062,42.94156557,-110.1388206
900063,42.93173846,-110.127454
900064,42.92937721,-121.687906
900065,42.93634735,-110.4275855
900066,42.91822094,-110.1545356
900067,42.9133335,-110.1466667
900068,42.92187335,-121.6658841
900069,42.91367831,-121.837408
900070,42.90585429,-121.8710814
900071,43.0352556,-109.9544536
900072,42.93483211,-109.9209632
900073,42.89089648,-121.6093021
900074,42.90352376,-121.7806045
900075,42.90656888,-121.7371694
900076,42.89272011,-110.3947725
900077,42.88660399,-110.0916278
900078,42.88967435,-109.8757222
900079,42.95009089,-109.8105032
900080,42.88158587,-109.903449
900081,42.90527898,-109.5117781
900082,42.87629464,-109.9318369
900083,42.88395543,-121.6719577
900084,42.86300197,-109.4977899
900085,42.8600723,-109.4579044
900086,42.90377867,-121.4720116
900087,42.9052286,-110.2073361
900088,42.86203094,-110.0708308
900089,42.86389798,-121.7392677
900090,42.85151443,-110.1397174
900091,42.85124004,-121.4522884
900092,42.85191933,-109.4392628
900093,42.86317726,-121.9167944
900094,42.87740138,-109.7306617
900095,42.87744304,-109.6691925
900096,42.84337836,-121.711875
900097,42.84136412,-121.7781886
900098,42.84783187,-109.8726125
900099,42.84878734,-109.8575424
900100,42.82136781,-121.8216315
900101,42.83371947,-121.4544416
900102,42.81791745,-121.427796
900103,42.82093674,-121.1011011
900104,42.83778874,-121.660919
900105,42.83227263,-121.2088165
900106,42.81215288,-121.104456
900107,42.81075722,-121.443081
900108,42.81324361,-121.0291881
900109,42.83020475,-110.365246
900110,42.80035036,-121.09756
900111,42.79110617,-121.0864383
900112,42.79434211,-121.4618538
900113,42.79050243,-121.0735323
900114,42.79311502,-121.0579244
900115,42.80593905,-121.7997698
900116,42.79670516,-109.821787
900117,42.80756486,-109.7797856
900118,42.77946762,-121.8362834
900119,42.78964122,-121.4438505
900120,42.775,-121.44
900121,42.77760871,-121.8101996
900122,42.78470078,-110.2768254
900123,42.77780579,-121.1536057
900124,42.77324014,-121.1193586
900125,42.7730521,-110.4602797
900126,42.76197186,-121.4522189
900127,42.77483709,-121.0275419
900128,42.75888875,-110.3625872
900129,42.7700752,-121.0806506
900130,42.76654195,-109.5762918
900131,42.75011281,-109.5900464
900132,42.79231797,-122.0773363
900133,42.75950716,-122.0226625
900134,42.76315962,-109.7554607
900135,42.82902111,-109.6606861
900136,42.74608954,-120.9743909
