COMID,Lat,Lon
4000001,55.81720776,125.1998784
4000002,55.82660288,125.2170224
4000003,55.82357251,124.6774383
4000004,55.80913127,124.6184472
4000005,55.79642828,124.7062958
4000006,55.82710851,124.7229387
4000007,55.79790068,125.195023
4000008,55.80302057,125.2780019
4000009,55.78281077,124.723579
4000010,55.79135019,124.7549574
4000011,55.76805209,125.158275
4000012,55.75532017,124.9142054
4000013,55.74322034,124.928129
4000014,55.77133565,125.0622953
4000015,55.73981478,125.0984189
4000016,55.75345091,124.7321347
4000017,55.73293224,124.6993022
4000018,55.72799523,125.0477256
4000019,55.73239762,125.1834352
4000020,55.71144967,125.2326071
4000021,55.74470139,125.3172072
4000022,55.7220905,125.8208176
4000023,55.71783387,125.8597042
4000024,55.71424951,129.5373198
4000025,55.70328273,125.2752118
4000026,55.70479205,125.2245834
4000027,55.70836014,129.6596375
4000028,55.70038881,129.5703655
4000029,55.68956263,129.6195084
4000030,55.70859694,124.8343768
4000031,55.7110029,124.9233498
4000032,55.69544421,129.7516952
4000033,55.67088521,124.9337086
4000034,55.68743795,124.9911609
4000035,55.65459363,129.4675061
4000036,55.68031995,129.5052403
4000037,55.68797338,130.7220927
4000038,55.6496744,130.3150383
4000039,55.6596278,130.3499726
4000040,55.68005997,125.0891688
4000041,55.69458654,125.7438553
4000042,55.67068968,125.7845569
4000043,55.66076351,129.2445889
4000044,55.64304063,129.3318482
4000045,55.64394283,129.7280548
4000046,55.65928033,125.5118289
4000047,55.62937354,125.5524899
4000048,55.66778012,127.1378422
4000049,55.62535653,127.2111919
4000050,55.62710488,129.968965
4000051,55.64062079,130.9042642
4000052,55.62595823,125.8734623
4000053,55.65306409,130.6319792
4000054,55.62821982,130.7143557
4000055,55.62981394,125.9500288
4000056,55.62499729,130.3697965
4000057,55.60312501,130.3914583
4000058,55.60824374,130.642309
4000059,55.60161266,130.6877019
4000060,55.60921619,129.2797613
4000061,55.60849981,125.5810279
4000062,55.60189998,125.6051612
4000063,55.59720704,129.2095569
4000064,55.58020834,127.9922917
4000065,55.61244265,128.0194301
4000066,55.57921264,125.3498391
4000067,55.60539496,125.3508122
4000068,55.58389603,129.5933732
4000069,55.57001249,129.6382132
4000070,55.5782314,130.8441307
4000071,55.55739381,127.1380756
4000072,55.5861232,127.1723285
4000073,55.56413238,125.3654371
4000074,55.58716338,125.4099007
4000075,55.59348546,125.6998674
4000076,55.58371784,125.7571459
4000077,55.55881742,128.2193462
4000078,55.58336431,128.2405745
4000079,55.5491292,127.137879
4000080,55.57026832,127.1891953
4000081,55.55732115,130.8753401
4000082,55.57330903,127.814898
4000083,55.55730137,128.0019946
4000084,55.55791346,128.0519474
4000085,55.53947015,127.8476113
4000086,55.54160825,128.3084786
4000087,55.55447188,128.3368752
4000088,55.56147101,125.6316029
4000089,55.53077177,128.2264075
4000090,55.53840867,128.2322193
4000091,55.53713955,125.6571615
4000092,55.53567828,126.0581972
4000093,55.5288069,126.0831015
4000094,55.54251205,129.6021392
4000095,55.52415338,129.6095461
4000096,55.55028703,124.8632519
4000097,55.58842251,124.9154581
4000098,55.60103118,130.2098888
4000099,55.55506859,130.36817
4000100,55.56664971,129.8723963
4000101,55.57383164,130.1092461
4000102,55.54401443,129.2418815
4000103,55.58110124,129.4083146
4000104,55.513871,126.0857281
4000105,55.55801878,130.0313153
4000106,55.54709248,130.6412087
4000107,55.52183,130.5744607
4000108,55.55993769,124.570873
4000109,55.51724396,124.6541065
4000110,55.50660796,129.5877415
4000111,55.52563169,130.7482072
4000112,55.49838745,129.3318293
4000113,55.51470595,126.2408884
4000114,55.48854415,129.323652
4000115,55.49639662,126.0492187
4000116,55.4938381,130.7399218
4000117,55.58529126,127.7150572
4000118,55.50661272,127.7929532
4000119,55.54201383,127.0979607
4000120,55.513041,127.1118963
4000121,55.52228949,125.5758644
4000122,55.50580864,125.6159033
4000123,55.49278404,126.2805339
4000124,55.49350774,127.0798441
4000125,55.47819575,127.0813915
4000126,55.48361959,129.6035711
4000127,55.48002962,129.6536855
4000128,55.51307118,125.3893983
4000129,55.47699638,125.3923577
4000130,55.47421796,127.0783904
4000131,55.49414026,127.1085718
4000132,55.48698808,130.271531
4000133,55.49027738,130.3084774
4000134,55.49453503,126.7821739
4000135,55.48651141,126.8173162
4000136,55.49795998,128.3000194
4000137,55.49356794,128.2497979
4000138,55.45844706,128.2870601
4000139,55.47820317,130.6048159
4000140,55.47453534,130.636366
4000141,55.47121368,127.2909186
4000142,55.4517451,127.3335257
4000143,55.45060896,128.2491425
4000144,55.47408596,126.127289
