COMID,Lat,Lon
1000001,18.5900961,121.0891799
1000002,18.56579898,121.2465435
1000003,18.52566436,120.707956
1000004,18.54803595,121.0452274
1000005,18.54208414,121.0895725
1000006,18.52976063,121.2692443
1000007,18.49865184,120.6962117
1000008,18.50412943,120.7144588
1000009,18.47085305,122.1746149
1000010,18.46346762,121.3403328
1000011,18.50100621,120.8513635
1000012,18.44928425,121.1577042
1000013,18.44435691,121.2464737
1000014,18.42597707,121.4350747
1000015,18.4162596,121.4192016
1000016,18.42177392,121.1866621
1000017,18.39821992,121.4356189
1000018,18.38824212,121.5609841
1000019,18.38268556,121.4233997
1000020,18.36833399,121.4102965
1000021,18.38290414,120.7569362
1000022,18.35917485,120.9778773
1000023,18.37171984,120.9949494
1000024,18.35849136,120.7661149
1000025,18.40933992,122.1918034
1000026,18.33969935,120.608307
1000027,18.34289254,120.7273982
1000028,18.37994702,121.2882732
1000029,18.32058355,121.2143391
1000030,18.30664746,120.7765632
1000031,18.31637198,120.8588965
1000032,18.32359222,121.4123026
1000033,18.28379929,120.5813093
1000034,18.27625002,121.228125
1000035,18.29778856,121.2444521
1000036,18.2803211,120.8293271
1000037,18.32848411,121.4678412
1000038,18.28506621,121.0355708
1000039,18.26202583,121.899188
1000040,18.3054539,120.9942416
1000041,18.30766499,122.1153498
1000042,18.26533482,121.2289256
1000043,18.25589233,121.9025329
1000044,18.25274493,120.999906
1000045,18.25240201,121.0220552
1000046,18.24750263,121.9029475
1000047,18.25505856,121.3632236
1000048,18.26411421,120.6567636
1000049,18.23472456,121.4789802
1000050,18.24448834,122.0083671
1000051,18.25838974,121.8426603
1000052,18.26878569,121.6613343
1000053,18.23889396,121.9518769
1000054,18.20623002,121.6533861
1000055,18.20479173,121.6554167
1000056,18.26050216,121.7427442
1000057,18.28815636,121.5685053
1000058,18.23108909,121.3975954
1000059,18.18055522,121.3593325
1000060,18.18258686,121.3040449
1000061,18.17948038,121.6478331
1000062,18.21103119,121.4927632
1000063,18.15767207,121.4807376
1000064,18.17438633,120.7128956
1000065,18.15679293,120.731722
1000066,18.14207148,120.6942357
1000067,18.14350351,121.0996841
1000068,18.19906441,121.0643337
1000069,18.13785012,121.088067
1000070,18.16512556,120.6200378
1000071,18.13937345,120.8226017
1000072,18.14105706,122.1910111
1000073,18.13645456,121.4556739
1000074,18.11399469,120.8285872
1000075,18.11024959,122.1578292
1000076,18.12055394,120.6977615
1000077,18.11286188,120.7411287
1000078,18.13250132,121.2996692
1000079,18.10083336,120.7108333
1000080,18.13766366,121.3540167
1000081,18.08772152,120.7224501
1000082,18.13464011,121.6567667
1000083,18.07893646,121.5974223
1000084,18.07345631,121.627465
1000085,18.07621641,120.7993782
1000086,18.06788067,121.6388451
1000087,18.06881171,120.5289921
1000088,18.1035846,121.0233577
1000089,18.06919071,121.3300641
1000090,18.05186503,121.6676943
1000091,18.04695604,121.6424171
1000092,18.04073481,121.3253213
1000093,18.07163549,121.2602806
1000094,18.05282656,121.8186746
1000095,18.04363833,121.6287396
1000096,18.08031645,121.1140095
1000097,18.0293632,121.1339735
1000098,18.02350881,121.1708023
1000099,18.05632377,120.6963594
1000100,18.02242477,120.7892608
1000101,18.00011921,120.6740249
1000102,18.0096116,121.0665165
1000103,18.0017219,121.1980996
1000104,17.99851753,121.6055901
1000105,18.00740742,121.3328264
1000106,17.99332778,121.9387436
1000107,17.98495202,120.7040501
1000108,18.00021257,121.5720831
1000109,17.97348178,120.6577457
1000110,17.96325161,121.9161224
1000111,17.9647701,121.774125
1000112,17.94762512,121.211927
1000113,18.01667112,121.4963698
1000114,17.92828498,120.5041138
1000115,17.973758,122.0899643
1000116,17.93256697,122.1362806
1000117,17.93007244,121.879854
1000118,17.90745409,120.5658332
1000119,17.91412299,121.8029916
1000120,17.89860762,121.8658975
1000121,17.93675409,120.6698714
1000122,17.93957958,121.6385622
1000123,17.95301981,121.1007237
1000124,17.90591794,121.7040205
1000125,17.89225846,121.9483156
1000126,17.89108414,121.8798568
1000127,17.88124465,121.9046832
1000128,17.92357738,121.166168
1000129,17.86724967,121.7114659
1000130,17.8692456,121.9440604
1000131,17.88153518,120.5510572
1000132,17.86487756,120.9105705
1000133,17.85142983,121.7121381
1000134,17.8613124,121.6499424
1000135,17.85376451,121.668862
1000136,17.84054681,121.2615769
1000137,17.8331144,121.7218469
1000138,17.8774953,121.5562476
1000139,17.85747962,121.8693783
1000140,17.83072085,121.2166996
1000141,17.86303996,122.0939789
1000142,17.81322971,121.2824613
1000143,17.82996058,121.3879613
1000144,17.80642524,121.3177525
1000145,17.80017393,120.4527328
1000146,17.82253563,120.8134934
1000147,17.80422352,121.718433
1000148,17.80598455,121.6254623
1000149,17.77961028,121.3239716
1000150,17.80125881,120.9796666
1000151,17.80870449,121.9399845
1000152,17.83133747,120.7603218
1000153,17.76457508,120.7567437
1000154,17.76125887,121.2743838
1000155,17.71898171,121.2174391
1000156,17.71147882,121.2300537
1000157,17.70871216,120.7749848
1000158,17.76763383,121.4808615
1000159,17.68045256,120.9840538
1000160,17.7308173,120.875757
1000161,17.68121464,121.4944113
1000162,17.66208335,121.5039583
1000163,17.66798222,122.14274
1000164,17.6959797,120.7147956
1000165,17.67976019,120.7325115
1000166,17.65498545,120.9775281
1000167,17.73441714,121.6628428
1000168,17.64357579,120.6953032
1000169,17.68445808,120.6422008
1000170,17.64561846,121.5055749
1000171,17.62928835,120.6610106
1000172,17.6410149,121.6076751
1000173,17.67151153,121.4406452
1000174,17.64073874,121.3856614
1000175,17.67715039,121.8062615
1000176,17.62291669,121.41625
1000177,17.62514425,120.7101956
1000178,17.61900305,120.7342047
1000179,17.61901021,121.4053104
1000180,17.61967764,121.3863278
1000181,17.61465065,120.72645
1000182,17.61155197,120.3538838
1000183,17.61145836,120.3564583
1000184,17.64960978,120.8544514
1000185,17.65128455,121.880049
1000186,17.60902295,120.3632413
1000187,17.62180977,121.7557613
1000188,17.61725029,121.0135471
1000189,17.60998676,121.435704
1000190,17.66992214,121.9440353
1000191,17.58644664,120.7849303
1000192,17.64816261,120.5498851
1000193,17.68966873,121.7108471
1000194,17.58700196,121.7049523
1000195,17.6058485,120.6015163
1000196,17.58549739,120.747117
1000197,17.6006906,121.2669906
1000198,17.57481043,120.5715419
1000199,17.6075773,120.9931895
1000200,17.59773143,121.8124121
1000201,17.57022843,121.693997
1000202,17.57223706,122.1578352
1000203,17.55357089,120.8221386
1000204,17.57579943,120.7268145
1000205,17.59017569,121.6135866
1000206,17.53375006,120.739402
1000207,17.52206705,121.1992182
1000208,17.54773857,120.4855838
1000209,17.53365003,121.3046951
1000210,17.50096975,121.1200296
1000211,17.55281402,121.3926018
1000212,17.50248166,121.8588029
1000213,17.48155562,121.927401
1000214,17.53146928,120.6260644
1000215,17.48633621,122.1746602
1000216,17.47369905,122.1316163
1000217,17.49735598,120.7110334
1000218,17.45380756,120.7222926
1000219,17.45632955,120.7636863
1000220,17.46136453,121.8287964
1000221,17.52176884,121.7682392
1000222,17.44631927,120.7479196
1000223,17.44387872,120.8378701
1000224,17.4333624,121.8508799
1000225,17.44253767,122.1493062
1000226,17.50955917,121.4947209
1000227,17.43218732,120.4889782
1000228,17.43237904,121.6790818
1000229,17.42333562,121.7604988
1000230,17.42978078,121.8047621
