COMID,Lat,Lon
13000001,59.80793729,-136.4777982
13000002,59.76421188,-135.7659498
13000003,59.76991688,-136.5834508
13000004,59.75306588,-135.8953973
13000005,59.73482446,-135.826918
13000006,59.72194944,-135.7242342
13000007,59.69586442,-136.0366556
13000008,59.67436394,-136.0885827
13000009,59.71897605,-136.4136853
13000010,59.64109665,-136.4272584
13000011,59.63782486,-135.993312
13000012,59.65598885,-135.8895224
13000013,59.63113813,-135.377533
13000014,59.59393032,-135.3317514
13000015,59.58845163,-135.995255
13000016,59.57560178,-135.9889631
13000017,59.58744512,-135.1558084
13000018,59.55550884,-135.1268568
13000019,59.59305977,-136.1854646
13000020,59.54008832,-136.1327102
13000021,59.55251444,-136.0347536
13000022,59.53708481,-136.0719853
13000023,59.56051061,-135.340411
13000024,59.53115616,-135.4033943
13000025,59.5385253,-135.2136314
13000026,59.51017542,-135.3476805
13000027,59.49582287,-135.2157896
13000028,59.47452285,-135.2920996
13000029,59.49913412,-136.4552847
13000030,59.43845734,-136.4401892
13000031,59.4288589,-136.2097818
13000032,59.44495703,-136.2120688
13000033,59.43336269,-136.2923352
13000034,59.46726347,-135.9988212
13000035,59.41677843,-136.0603516
13000036,59.39874163,-135.9086841
13000037,59.41288954,-136.2372331
13000038,59.38383601,-135.9137003
13000039,59.35846901,-135.9377639
13000040,59.38001579,-132.5641822
13000041,59.34532884,-132.5368497
13000042,59.40782993,-135.4963948
13000043,59.41785376,-135.6794943
13000044,59.33149439,-135.7836695
13000045,59.29917536,-135.1873202
13000046,59.28523148,-135.1395362
13000047,59.30282844,-132.5761448
13000048,59.27231445,-135.1564436
13000049,59.31078698,-136.2085905
13000050,59.26991112,-135.649356
13000051,59.27189552,-132.2765104
13000052,59.25285092,-132.4662072
13000053,59.27369908,-134.8516109
13000054,59.25165522,-135.8591042
13000055,59.25601728,-135.1106997
13000056,59.24987698,-135.5791588
13000057,59.22823335,-135.0249332
13000058,59.26375158,-134.9231148
13000059,59.2248827,-134.9218549
13000060,59.22171176,-135.0506823
13000061,59.2444167,-135.2272428
13000062,59.20712066,-134.9774281
13000063,59.23823633,-132.8776318
