COMID,Lat,Lon
5000001,37.00261361,74.671147
5000002,36.96935326,74.77776461
5000003,36.94586406,75.1826903
5000004,36.93449533,75.26450978
5000005,36.89398565,75.1833811
5000006,36.87355099,75.14861928
5000007,36.87054571,74.98457725
5000008,36.90378833,75.02667561
5000009,36.86257934,75.01360195
5000010,36.86244765,75.0825879
5000011,36.90726727,74.51500209
5000012,36.88005545,74.63681732
5000013,36.85227947,74.2315679
5000014,36.84280053,73.56717599
5000015,36.82943386,73.51320085
5000016,36.83525449,73.90883615
5000017,36.85480567,73.84323338
5000018,36.83098925,74.30232162
5000019,36.87895215,74.71459252
5000020,36.83302218,74.66689172
5000021,36.84435643,75.14985949
5000022,36.84534492,73.39893789
5000023,36.82293894,73.52743797
5000024,36.82606923,74.19232753
5000025,36.81907051,74.36355767
5000026,36.81650642,73.10698717
5000027,36.8205178,73.10883801
5000028,36.81667254,73.54058681
5000029,36.84068843,75.24440257
5000030,36.82555532,75.3616563
5000031,36.81218466,73.19912972
5000032,36.81105811,74.36020286
5000033,36.80931737,73.53919251
5000034,36.80732753,73.07477022
5000035,36.80782661,73.10946752
5000036,36.79291667,74.94
5000037,36.82830913,74.97266835
5000038,36.80725621,73.3136765
5000039,36.81035525,73.50436042
5000040,36.80014043,73.6107952
5000041,36.80135308,74.73963651
5000042,36.79963681,74.77595676
5000043,36.80805118,73.97372139
5000044,36.79098897,73.05248576
5000045,36.82093778,74.86481204
5000046,36.78773151,74.89583605
5000047,36.78385465,72.62685385
5000048,36.78213166,72.65359526
5000049,36.7782049,74.01744407
5000050,36.78990387,75.34419362
5000051,36.80190938,73.68705617
5000052,36.78396861,72.98489684
5000053,36.7807081,73.00704499
5000054,36.81343074,74.5515619
5000055,36.77172476,74.33731257
5000056,36.76328676,74.7963981
5000057,36.75835653,74.8465053
5000058,36.75820595,72.63451038
5000059,36.74178018,72.59444732
5000060,36.75078189,72.94695349
5000061,36.7348119,72.88975515
5000062,36.73510297,72.91269773
5000063,36.73341824,72.63280093
5000064,36.75108791,72.71785532
5000065,36.77207052,74.32425743
5000066,36.74160019,74.64072608
5000067,36.76154159,74.40299786
5000068,36.71150999,72.31536239
5000069,36.70998851,72.3644631
5000070,36.71215027,72.85905512
5000071,36.73976207,74.00823157
5000072,36.69487185,74.0072437
5000073,36.71940316,74.76394471
5000074,36.71734018,74.81679528
5000075,36.74341555,75.07024855
5000076,36.689445,72.37529475
5000077,36.6895336,72.40092225
5000078,36.67993393,75.20878629
5000079,36.7378822,74.97590336
5000080,36.67308675,75.27169484
5000081,36.70134565,75.32053052
5000082,36.667938,72.39283268
5000083,36.6665215,73.40664542
5000084,36.64725469,73.42651997
5000085,36.6667247,73.41846034
5000086,36.64567867,73.41837232
5000087,36.64283016,74.14897329
5000088,36.6487581,72.37857464
5000089,36.64017923,73.67722741
5000090,36.63644764,73.72308703
5000091,36.6569164,75.18075227
5000092,36.64064353,73.43686129
5000093,36.64864848,73.48925143
5000094,36.65761849,75.45302184
5000095,36.64865438,75.34279764
5000096,36.6333989,75.39594423
5000097,36.63673703,73.83307556
5000098,36.63253882,73.84544404
5000099,36.61958333,74.53604167
5000100,36.62566658,74.52545856
5000101,36.61759136,74.53336007
5000102,36.62799497,74.19352265
5000103,36.62210126,75.4462626
5000104,36.65469084,74.04596319
5000105,36.62683263,74.10657587
5000106,36.65346893,74.84117213
5000107,36.62815858,74.90655158
5000108,36.61697815,73.83537317
5000109,36.62190178,75.38256319
5000110,36.61114789,73.84110041
5000111,36.60662232,72.99605303
5000112,36.6174778,73.16005974
5000113,36.61834311,73.18717386
5000114,36.61345896,74.56566875
5000115,36.61591277,74.60333683
5000116,36.66834444,72.91290392
5000117,36.60567962,72.94216446
5000118,36.63404623,75.2283901
5000119,36.5977523,72.89595825
5000120,36.59898094,72.99200907
5000121,36.59886738,72.21718347
5000122,36.58746541,74.05997282
5000123,36.59818267,74.06563967
5000124,36.59696642,74.45233491
5000125,36.5782341,74.06127524
5000126,36.57163111,74.06915933
5000127,36.60045553,73.73489094
5000128,36.58849709,72.80438856
5000129,36.58006588,72.85268003
5000130,36.56628269,73.77180854
5000131,36.58840667,73.81220697
5000132,36.5639515,73.72405139
5000133,36.56424166,73.65808981
5000134,36.60988313,72.4451076
5000135,36.63713102,72.55871793
5000136,36.57299181,74.63229201
5000137,36.58181921,74.59722503
5000138,36.56247932,72.2348626
5000139,36.55753588,74.04510004
5000140,36.54831789,73.69640979
5000141,36.53718834,74.03585563
5000142,36.54740673,72.79867154
5000143,36.54555634,74.71880485
5000144,36.5407198,74.69827524
5000145,36.56007413,72.90768348
5000146,36.52855762,75.01730667
5000147,36.55390355,72.74412994
5000148,36.52833339,72.77666667
5000149,36.56464497,74.82767581
5000150,36.52876131,75.00317142
5000151,36.58186241,72.3730401
5000152,36.53492779,72.4564361
5000153,36.51876256,74.86807419
5000154,36.52587437,73.97702262
5000155,36.55140904,73.18597733
5000156,36.51840675,72.80812379
5000157,36.51706308,74.81048186
5000158,36.50300212,73.23163742
5000159,36.56942551,73.2694152
5000160,36.49901828,73.13202634
5000161,36.50363157,74.80725731
5000162,36.50310056,74.88676096
5000163,36.55824204,73.43124059
5000164,36.51266997,75.14543181
5000165,36.50264765,74.9418635
5000166,36.51093801,75.081686
5000167,36.49107709,75.17793431
5000168,36.48625,72.07145833
5000169,36.50328641,72.06260703
5000170,36.50345219,74.99275915
5000171,36.50392977,72.75043978
5000172,36.49195905,73.4468357
5000173,36.49729937,72.43204323
5000174,36.4975689,72.50984207
5000175,36.51887386,75.57445147
5000176,36.52040462,73.83110609
5000177,36.49857584,73.87732142
5000178,36.47170909,73.83943363
5000179,36.47458799,74.3565533
5000180,36.46875,74.35645833
5000181,36.4798544,74.90171341
5000182,36.46848584,73.81255402
5000183,36.48788086,75.63134951
5000184,36.48678529,74.22410998
5000185,36.50402536,74.2550474
5000186,36.47029998,75.54540654
5000187,36.47442615,72.09453933
5000188,36.4713135,72.11730436
5000189,36.48895052,75.4632208
5000190,36.46413046,75.49548637
5000191,36.46550745,74.34403296
5000192,36.49389787,75.02021076
5000193,36.47180899,71.98333202
5000194,36.46106266,74.83465712
5000195,36.46900066,71.94991124
5000196,36.4586992,74.39032834
5000197,36.47248765,73.31720493
5000198,36.46814762,73.39236586
5000199,36.46257058,72.74991949
5000200,36.48159938,72.34866636
5000201,36.43860819,72.7826239
5000202,36.44122331,73.383701
5000203,36.45366191,74.27980184
5000204,36.45110361,74.30939305
5000205,36.46183199,75.27501817
5000206,36.45855907,75.35587039
5000207,36.44533047,75.54139906
5000208,36.45085895,73.46811761
5000209,36.43255265,73.38206902
5000210,36.45082825,75.42155887
5000211,36.42927972,75.35440252
5000212,36.42675217,75.37192714
5000213,36.42806744,72.36967726
5000214,36.44348138,72.40556561
5000215,36.46136888,73.97425231
5000216,36.41784872,73.77120522
5000217,36.43870468,73.83844076
5000218,36.42228808,72.7777874
5000219,36.41794319,73.44328839
5000220,36.41836309,74.83006526
5000221,36.43583019,74.89338228
5000222,36.40556325,72.3767498
5000223,36.40802265,72.42632088
5000224,36.42881034,72.16511913
5000225,36.42104155,72.2815802
5000226,36.44347726,75.21647528
5000227,36.40653751,73.35856894
5000228,36.40118124,75.40458117
5000229,36.39009423,73.84198588
5000230,36.38509809,73.8991841
5000231,36.3847913,74.87115552
5000232,36.45121439,75.06801161
5000233,36.39144559,73.20793807
5000234,36.39465466,72.95068837
5000235,36.36678667,74.87961291
5000236,36.36188614,73.84494286
5000237,36.36286417,74.16009508
5000238,36.34628711,73.82918167
5000239,36.34636744,73.83484121
5000240,36.41829353,72.64808003
5000241,36.34280335,74.17348528
5000242,36.35768749,75.43929111
5000243,36.39555735,72.04183987
